Tech_sto	YEAR_2020	YEAR_2025	YEAR_2030	YEAR_2035	YEAR_2040	YEAR_2045	YEAR_2050	
 PHS 	 -219.518187	 -30.492092	 -219.747104	 -981.023934	 -1048.921893	 -1061.248548	 -984.767905	
 BATT_LI 	 -0.000222	 -0.000016	 -0.000303	 -0.000721	 -0.001308	 -138.428852	 -395.184573	
 BEV_BATT 	 -49.532415	 -3975.121682	 -4812.255489	 -4442.280644	 -5434.171759	 -5515.466030	 -5428.948295	
 PHEV_BATT 	 -0.000000	 -0.000011	 -0.000011	 -0.000010	 -0.000012	 -0.000012	 -0.000030	
 TS_DEC_HP_ELEC 	 0.000000	 -67.306661	 -1301.512982	 -5697.484985	 -9993.761187	 -16215.055673	 -14631.422230	
 TS_DEC_DIRECT_ELEC 	 0.000000	 -0.000019	 -0.000045	 -0.000044	 0.000000	 0.000000	 0.000000	
 TS_DHN_DAILY 	 0.000000	 -0.001085	 -0.000919	 -0.001619	 -0.002163	 -0.002739	 -0.006869	
 TS_DHN_SEASONAL 	 0.000000	 -2034.878189	 -3744.624809	 -5879.337348	 -9652.536579	 -11954.088806	 -13342.475885	
 TS_DEC_THHP_GAS 	 0.000000	 -880.010898	 -812.281039	 -813.343542	 -866.906842	 -1205.847042	 -0.000676	
 TS_DEC_COGEN_GAS 	 0.000000	 -68.536749	 -131.719762	 -152.891662	 -0.000180	 -0.000252	 -0.000000	
 TS_DEC_COGEN_OIL 	 0.000000	 0.000000	 0.000000	 -0.000006	 -0.000001	 -0.000005	 0.000000	
 TS_DEC_ADVCOGEN_GAS 	 0.000000	 0.000000	 0.000000	 0.000000	 0.000000	 -0.000003	 0.000000	
 TS_DEC_ADVCOGEN_H2 	 0.000000	 0.000000	 0.000000	 0.000000	 0.000000	 -0.000000	 -0.000000	
 TS_DEC_BOILER_GAS 	 0.000000	 -633.542350	 -638.266213	 -940.030484	 -495.710838	 -0.000401	 0.000000	
 TS_DEC_BOILER_WOOD 	 0.000000	 -202.947710	 -202.956692	 -54.581022	 -54.587282	 -54.548558	 0.000000	
 TS_DEC_BOILER_OIL 	 0.000000	 -3.593769	 -92.879487	 -0.000631	 -0.000060	 -0.000047	 0.000000	
 TS_HIGH_TEMP 	 0.000000	 -0.009931	 -0.008483	 -0.081706	 -781.556565	 -5623.222055	 -4915.455111	
 GAS_STORAGE 	 -14950.755139	 -13801.928223	 -13789.065721	 -18214.210458	 -18143.468367	 -11264.865563	 -3189.555098	
 H2_STORAGE 	 0.000000	 -0.000035	 -0.000028	 -0.000683	 -0.000415	 -0.000317	 -0.000933	
 CO2_STORAGE 	 0.000000	 -0.000017	 -0.000017	 -0.000019	 -0.000016	 -0.000057	 -0.000152	
 GASOLINE_STORAGE 	 0.000000	 -1.818100	 -0.006170	 -0.001597	 -0.000341	 -0.000333	 -0.000351	
 DIESEL_STORAGE 	 0.000000	 -0.132465	 -0.252572	 -0.722450	 -0.098740	 -0.117029	 -0.478876	
 METHANOL_STORAGE 	 0.000000	 -0.000540	 -0.000527	 -0.000183	 -0.000205	 -0.000409	 -0.001529	
 AMMONIA_STORAGE 	 0.000000	 -0.000077	 -0.000122	 -0.000223	 -0.001258	 -8.559641	 -15.963484	
 LFO_STORAGE 	 0.000000	 -0.247360	 -0.796473	 -0.001376	 -0.000778	 -0.000782	 -0.000247	
