Infrastructure	YEAR_2020	YEAR_2025	YEAR_2030	YEAR_2035	YEAR_2040	YEAR_2045	YEAR_2050	
 EFFICIENCY 	 0.000000	 0.000000	 0.000000	 0.000000	 0.000000	 0.000000	 0.000000	
 DHN 	 0.000000	 0.000000	 0.000000	 0.000000	 0.000000	 0.000000	 0.000000	
 GRID 	 0.000000	 0.000000	 0.000000	 0.000000	 0.000000	 0.000000	 0.000000	
 H2_ELECTROLYSIS 	 0.000000	 0.000290	 0.000481	 0.000934	 0.001842	 0.001042	 0.001469	
 SMR 	 0.002306	 0.003969	 0.003873	 0.004641	 0.004566	 0.000658	 0.000968	
 H2_BIOMASS 	 0.000000	 0.000197	 0.000215	 0.000296	 0.000437	 0.000302	 0.000444	
 GASIFICATION_SNG 	 0.000000	 0.000280	 0.000338	 0.000480	 0.000687	 0.000964	 0.001438	
 SYN_METHANATION 	 0.000000	 0.000953	 0.000762	 0.000803	 0.000840	 0.001856	 0.006327	
 BIOMETHANATION 	 2500.000000	 2507.571644	 2515.119617	 2515.098386	 0.021352	 0.001157	 0.001527	
 BIO_HYDROLYSIS 	 0.000000	 12856.000300	 12894.686292	 12894.716342	 16454.663418	 16454.694144	 16454.694724	
 PYROLYSIS_TO_LFO 	 0.000000	 0.000711	 0.001047	 0.001538	 0.002329	 0.003000	 0.002884	
 PYROLYSIS_TO_FUELS 	 0.000000	 0.001938	 0.001765	 0.001937	 0.000408	 0.000311	 0.000283	
 ATM_CCS 	 0.000000	 0.000101	 0.000094	 0.000098	 0.000106	 0.000141	 0.000306	
 INDUSTRY_CCS 	 0.000000	 0.000216	 0.000198	 0.000198	 0.000216	 0.000496	 0.001503	
 AMMONIA_TO_H2 	 0.000000	 0.000464	 0.000546	 0.000711	 0.000860	 0.000876	 0.002114	
 HABER_BOSCH 	 0.000000	 0.000947	 0.000553	 0.000534	 0.000522	 0.000557	 0.000992	
 SYN_METHANOLATION 	 0.000000	 0.000428	 0.000486	 0.000469	 0.000536	 0.000880	 0.001598	
 METHANE_TO_METHANOL 	 0.000000	 0.000476	 0.000194	 0.000501	 0.000572	 0.000512	 0.000789	
 BIOMASS_TO_METHANOL 	 0.000000	 0.000349	 0.000476	 0.000578	 0.000940	 0.001843	 0.001406	
 OIL_TO_HVC 	 0.000000	 0.000000	 0.000000	 0.000000	 0.000000	 0.000000	 0.000000	
 GAS_TO_HVC 	 0.000000	 0.000000	 0.000000	 0.000000	 0.000000	 0.000000	 0.000000	
 BIOMASS_TO_HVC 	 0.000000	 0.000000	 0.000000	 0.000000	 0.000000	 0.000000	 0.000000	
 METHANOL_TO_HVC 	 0.000000	 0.000000	 0.000000	 0.000000	 0.000000	 0.000000	 0.000000	
