Td 	 Time	ELECTRICITY	GASOLINE	DIESEL	BIOETHANOL	BIODIESEL	LFO	GAS	GAS_RE	WOOD	WET_BIOMASS	COAL	URANIUM	WASTE	H2	H2_RE	AMMONIA	AMMONIA_RE	METHANOL	METHANOL_RE	ELEC_EXPORT	CO2_EMISSIONS	RES_WIND	RES_SOLAR	RES_HYDRO	RES_GEO	CO2_ATM	CO2_INDUSTRY	CO2_CAPTURED	NUCLEAR	CCGT	CCGT_AMMONIA	COAL_US	COAL_IGCC	PV	WIND_ONSHORE	WIND_OFFSHORE	HYDRO_RIVER	GEOTHERMAL	IND_COGEN_GAS	IND_COGEN_WOOD	IND_COGEN_WASTE	IND_BOILER_GAS	IND_BOILER_WOOD	IND_BOILER_OIL	IND_BOILER_COAL	IND_BOILER_WASTE	IND_DIRECT_ELEC	DHN_HP_ELEC	DHN_COGEN_GAS	DHN_COGEN_WOOD	DHN_COGEN_WET_BIOMASS	DHN_COGEN_BIO_HYDROLYSIS	DHN_COGEN_WASTE	DHN_BOILER_GAS	DHN_BOILER_WOOD	DHN_BOILER_OIL	DHN_DEEP_GEO	DHN_SOLAR	DEC_HP_ELEC	DEC_THHP_GAS	DEC_COGEN_GAS	DEC_COGEN_OIL	DEC_ADVCOGEN_GAS	DEC_ADVCOGEN_H2	DEC_BOILER_GAS	DEC_BOILER_WOOD	DEC_BOILER_OIL	DEC_SOLAR	DEC_DIRECT_ELEC	TRAMWAY_TROLLEY	BUS_COACH_DIESEL	BUS_COACH_HYDIESEL	BUS_COACH_CNG_STOICH	BUS_COACH_FC_HYBRIDH2	TRAIN_PUB	CAR_GASOLINE	CAR_DIESEL	CAR_NG	CAR_METHANOL	CAR_HEV	CAR_PHEV	CAR_BEV	CAR_FUEL_CELL	TRAIN_FREIGHT	BOAT_FREIGHT_DIESEL	BOAT_FREIGHT_NG	BOAT_FREIGHT_METHANOL	TRUCK_DIESEL	TRUCK_FUEL_CELL	TRUCK_NG	TRUCK_METHANOL	TRUCK_ELEC	HABER_BOSCH	OIL_TO_HVC	GAS_TO_HVC	BIOMASS_TO_HVC	METHANOL_TO_HVC	SYN_METHANOLATION	METHANE_TO_METHANOL	BIOMASS_TO_METHANOL	EFFICIENCY	DHN	GRID	H2_ELECTROLYSIS	SMR	H2_BIOMASS	GASIFICATION_SNG	SYN_METHANATION	BIOMETHANATION	BIO_HYDROLYSIS	PYROLYSIS_TO_LFO	PYROLYSIS_TO_FUELS	ATM_CCS	INDUSTRY_CCS	AMMONIA_TO_H2	PHS_Pin	PHS_Pout	BATT_LI_Pin	BATT_LI_Pout	BEV_BATT_Pin	BEV_BATT_Pout	PHEV_BATT_Pin	PHEV_BATT_Pout	TS_DEC_HP_ELEC_Pin	TS_DEC_HP_ELEC_Pout	TS_DEC_DIRECT_ELEC_Pin	TS_DEC_DIRECT_ELEC_Pout	TS_DHN_DAILY_Pin	TS_DHN_DAILY_Pout	TS_DHN_SEASONAL_Pin	TS_DHN_SEASONAL_Pout	TS_DEC_THHP_GAS_Pin	TS_DEC_THHP_GAS_Pout	TS_DEC_COGEN_GAS_Pin	TS_DEC_COGEN_GAS_Pout	TS_DEC_COGEN_OIL_Pin	TS_DEC_COGEN_OIL_Pout	TS_DEC_ADVCOGEN_GAS_Pin	TS_DEC_ADVCOGEN_GAS_Pout	TS_DEC_ADVCOGEN_H2_Pin	TS_DEC_ADVCOGEN_H2_Pout	TS_DEC_BOILER_GAS_Pin	TS_DEC_BOILER_GAS_Pout	TS_DEC_BOILER_WOOD_Pin	TS_DEC_BOILER_WOOD_Pout	TS_DEC_BOILER_OIL_Pin	TS_DEC_BOILER_OIL_Pout	TS_HIGH_TEMP_Pin	TS_HIGH_TEMP_Pout	GAS_STORAGE_Pin	GAS_STORAGE_Pout	H2_STORAGE_Pin	H2_STORAGE_Pout	CO2_STORAGE_Pin	CO2_STORAGE_Pout	GASOLINE_STORAGE_Pin	GASOLINE_STORAGE_Pout	DIESEL_STORAGE_Pin	DIESEL_STORAGE_Pout	METHANOL_STORAGE_Pin	METHANOL_STORAGE_Pout	AMMONIA_STORAGE_Pin	AMMONIA_STORAGE_Pout	LFO_STORAGE_Pin	LFO_STORAGE_Pout	END_USE	
 1 	 1							15.681247	0.000000																						-0.210131									-0.000051			-3.322506							-0.771538					-0.308340							-0.531658				-15.372459								-0.003269					-0.000635																											-0.000000				0.337777																																									-0.000011	4.501574															0.000000	
 1 	 2							15.681247	0.000000																						-0.000001									-0.000002			-3.322531							-0.771538					-0.308340							-0.542379				-15.682448								-0.001308					-0.000254																											-0.000000				0.337777																																									-0.000011	4.609787															0.000000	
 1 	 3							15.681247	0.000000																						-0.000001									-0.000002			-3.322531							-0.771538					-0.308340							-0.555779				-16.069901								-0.000654					-0.000127																											-0.000000				0.337777																																									-0.000011	5.009860															0.000000	
 1 	 4							15.681247	0.000000																						-0.000001									-0.000002			-3.322531							-0.771538					-0.308340							-0.561139				-16.224873								-0.007845					-0.001523																											-0.000000				0.337777																																									-0.000010	5.178779															0.000000	
 1 	 5							15.681247	0.000000																						-0.000001									-0.000002			-3.322531							-0.771538					-0.308340							-0.569180				-16.457354								-0.020920					-0.004062																											-0.000000				0.337777																																									-0.000010	5.434914															0.000000	
 1 	 6							15.681247	0.000000																						-0.000001									-0.000002			-3.322531							-0.771538					-0.308340							-0.574539				-16.612326								-0.052301					-0.010156																											-0.000000				0.337777																																									-0.000010	5.632720															0.000000	
 1 	 7							15.681247	0.000000																						-1.840762									-0.000090			-3.322487							-0.771538					-0.308340							-0.579901				-16.767343								-0.101333					-0.019677																											-0.000000				0.337777																																									-0.000010	7.692457															0.000000	
 1 	 8							15.681247	0.000000																						-3.585706									-0.000115			-3.322474							-0.771538					-0.308340							-0.582580				-16.844807								-0.088258					-0.017138																											-0.000000				0.337778																																									-0.000017	9.501949															0.000000	
 1 	 9							15.681247	0.000000																						-3.345182									-0.000117			-3.322473							-0.771538					-0.308340							-0.582580				-16.844807								-0.081720					-0.015869																											-0.000000				0.337778																																									-0.000016	9.253618															0.000000	
 1 	 10							15.681247	0.000000																						-3.039100									-0.000093			-3.322485							-0.771538					-0.308340							-0.558459				-16.147364								-0.091527					-0.017773																											-0.000000				0.337777																																									-0.000010	8.237665															0.000000	
 1 	 11							15.681247	0.000000																						-2.982978									-0.000092			-3.322485							-0.771538					-0.308340							-0.531658				-15.372459								-0.104602					-0.020312																											-0.000000				0.337777																																									-0.000010	7.395451															0.000000	
 1 	 12							15.681247	0.000000																						-3.426896									-0.000093			-3.322485							-0.771538					-0.286371							-0.499497				-14.442535								-0.115062					-0.022343																											-0.000000				0.337777																																									-0.000010	6.867806															0.000000	
 1 	 13							15.681247	0.000000																						-3.096364									-0.000092			-3.322485							-0.771538					-0.257809							-0.480737				-13.900110								-0.104602					-0.020312																											-0.000000				0.337777																																									-0.000010	5.935037															0.000000	
 1 	 14							15.681247	0.000000																						-2.076210									-0.000088			-3.322488							-0.771538					-0.245568							-0.472697				-13.667629								-0.105909					-0.020566																											-0.000000				0.337777																																									-0.000011	4.663680															0.000000	
 1 	 15							15.681247	0.000000																						-1.856481									-0.000087			-3.322488							-0.771538					-0.245568							-0.472697				-13.667629								-0.118985					-0.023105																											-0.000000				0.337777																																									-0.000011	4.459564															0.000000	
 1 	 16							15.681247	0.000000																						-3.055140									-0.000092			-3.322485							-0.771538					-0.261888							-0.483416				-13.977573								-0.124215					-0.024120																											-0.000000				0.337777																																									-0.000010	6.001455															0.000000	
 1 	 17							15.681247	0.000000																						-5.392747									-0.000103			-3.322480							-0.771538					-0.294531							-0.504857				-14.597508								-0.124215					-0.024120																											-0.000000				0.337778																																									-0.000015	9.013090															0.000000	
 1 	 18							15.681247	0.000000																						-6.381502									-0.574577			-3.037476							-0.771538					-0.308340							-0.518258				-14.985006								-0.091527					-0.017773																											-0.000000				0.337778																																									-0.000013	10.666984															0.000000	
 1 	 19							15.681247	0.000000																						-5.546057									-0.000113			-3.322475							-0.771538					-0.308340							-0.531658				-15.372459								-0.065376					-0.012695																											-0.000000				0.337778																																									-0.000017	9.911704															0.000000	
 1 	 20							15.681247	0.000000																						-4.360805									-0.000112			-3.322476							-0.771538					-0.308340							-0.547739				-15.837420								-0.049032					-0.009521																											-0.000000				0.337778																																									-0.000016	9.187975															0.000000	
