Td 	 Time	ELECTRICITY	GASOLINE	DIESEL	BIOETHANOL	BIODIESEL	LFO	GAS	GAS_RE	WOOD	WET_BIOMASS	COAL	URANIUM	WASTE	H2	H2_RE	AMMONIA	AMMONIA_RE	METHANOL	METHANOL_RE	ELEC_EXPORT	CO2_EMISSIONS	RES_WIND	RES_SOLAR	RES_HYDRO	RES_GEO	CO2_ATM	CO2_INDUSTRY	CO2_CAPTURED	NUCLEAR	CCGT	CCGT_AMMONIA	COAL_US	COAL_IGCC	PV	WIND_ONSHORE	WIND_OFFSHORE	HYDRO_RIVER	GEOTHERMAL	IND_COGEN_GAS	IND_COGEN_WOOD	IND_COGEN_WASTE	IND_BOILER_GAS	IND_BOILER_WOOD	IND_BOILER_OIL	IND_BOILER_COAL	IND_BOILER_WASTE	IND_DIRECT_ELEC	DHN_HP_ELEC	DHN_COGEN_GAS	DHN_COGEN_WOOD	DHN_COGEN_WET_BIOMASS	DHN_COGEN_BIO_HYDROLYSIS	DHN_COGEN_WASTE	DHN_BOILER_GAS	DHN_BOILER_WOOD	DHN_BOILER_OIL	DHN_DEEP_GEO	DHN_SOLAR	DEC_HP_ELEC	DEC_THHP_GAS	DEC_COGEN_GAS	DEC_COGEN_OIL	DEC_ADVCOGEN_GAS	DEC_ADVCOGEN_H2	DEC_BOILER_GAS	DEC_BOILER_WOOD	DEC_BOILER_OIL	DEC_SOLAR	DEC_DIRECT_ELEC	TRAMWAY_TROLLEY	BUS_COACH_DIESEL	BUS_COACH_HYDIESEL	BUS_COACH_CNG_STOICH	BUS_COACH_FC_HYBRIDH2	TRAIN_PUB	CAR_GASOLINE	CAR_DIESEL	CAR_NG	CAR_METHANOL	CAR_HEV	CAR_PHEV	CAR_BEV	CAR_FUEL_CELL	TRAIN_FREIGHT	BOAT_FREIGHT_DIESEL	BOAT_FREIGHT_NG	BOAT_FREIGHT_METHANOL	TRUCK_DIESEL	TRUCK_FUEL_CELL	TRUCK_NG	TRUCK_METHANOL	TRUCK_ELEC	HABER_BOSCH	OIL_TO_HVC	GAS_TO_HVC	BIOMASS_TO_HVC	METHANOL_TO_HVC	SYN_METHANOLATION	METHANE_TO_METHANOL	BIOMASS_TO_METHANOL	EFFICIENCY	DHN	GRID	H2_ELECTROLYSIS	SMR	H2_BIOMASS	GASIFICATION_SNG	SYN_METHANATION	BIOMETHANATION	BIO_HYDROLYSIS	PYROLYSIS_TO_LFO	PYROLYSIS_TO_FUELS	ATM_CCS	INDUSTRY_CCS	AMMONIA_TO_H2	PHS_Pin	PHS_Pout	BATT_LI_Pin	BATT_LI_Pout	BEV_BATT_Pin	BEV_BATT_Pout	PHEV_BATT_Pin	PHEV_BATT_Pout	TS_DEC_HP_ELEC_Pin	TS_DEC_HP_ELEC_Pout	TS_DEC_DIRECT_ELEC_Pin	TS_DEC_DIRECT_ELEC_Pout	TS_DHN_DAILY_Pin	TS_DHN_DAILY_Pout	TS_DHN_SEASONAL_Pin	TS_DHN_SEASONAL_Pout	TS_DEC_THHP_GAS_Pin	TS_DEC_THHP_GAS_Pout	TS_DEC_COGEN_GAS_Pin	TS_DEC_COGEN_GAS_Pout	TS_DEC_COGEN_OIL_Pin	TS_DEC_COGEN_OIL_Pout	TS_DEC_ADVCOGEN_GAS_Pin	TS_DEC_ADVCOGEN_GAS_Pout	TS_DEC_ADVCOGEN_H2_Pin	TS_DEC_ADVCOGEN_H2_Pout	TS_DEC_BOILER_GAS_Pin	TS_DEC_BOILER_GAS_Pout	TS_DEC_BOILER_WOOD_Pin	TS_DEC_BOILER_WOOD_Pout	TS_DEC_BOILER_OIL_Pin	TS_DEC_BOILER_OIL_Pout	TS_HIGH_TEMP_Pin	TS_HIGH_TEMP_Pout	GAS_STORAGE_Pin	GAS_STORAGE_Pout	H2_STORAGE_Pin	H2_STORAGE_Pout	CO2_STORAGE_Pin	CO2_STORAGE_Pout	GASOLINE_STORAGE_Pin	GASOLINE_STORAGE_Pout	DIESEL_STORAGE_Pin	DIESEL_STORAGE_Pout	METHANOL_STORAGE_Pin	METHANOL_STORAGE_Pout	AMMONIA_STORAGE_Pin	AMMONIA_STORAGE_Pout	LFO_STORAGE_Pin	LFO_STORAGE_Pout	END_USE	
 1 	 1		0.079781		0.067217																																																																								-0.140934				-0.006065	0.000000																																																																																					0.000000	
 1 	 2		0.030411		0.028388																																																																								-0.056373				-0.002426	0.000000																																																																																					0.000000	
 1 	 3		0.014953		0.014447																																																																								-0.028187				-0.001213	0.000000																																																																																					0.000000	
 1 	 4		0.211412		0.141385																																																																								-0.338241				-0.014556	0.000000																																																																																					0.000000	
 1 	 5		0.678745		0.262047																																																																								-0.901975				-0.038816	0.000000																																																																																					0.000000	
 1 	 6		2.000236		0.351742																																																																								-2.254937				-0.097041	0.000000																																																																																					0.000000	
 1 	 7		4.169805		0.387147																																																																								-4.368935				-0.188017	0.000000																																																																																					0.000000	
 1 	 8		3.587535		0.381417																																																																								-3.805196				-0.163756	0.000000																																																																																					0.000000	
 1 	 9		3.297087		0.377878																																																																								-3.523339				-0.151627	0.000000																																																																																					0.000000	
 1 	 10		3.732967		0.383004																																																																								-3.946149				-0.169822	0.000000																																																																																					0.000000	
 1 	 11		4.315581		0.388365																																																																								-4.509864				-0.194082	0.000000																																																																																					0.000000	
 1 	 12		4.782548		0.391808																																																																								-4.960865				-0.213490	0.000000																																																																																					0.000000	
 1 	 13		4.315581		0.388365																																																																								-4.509864				-0.194082	0.000000																																																																																					0.000000	
 1 	 14		4.373921		0.388832																																																																								-4.566245				-0.196508	0.000000																																																																																					0.000000	
 1 	 15		4.957807		0.392946																																																																								-5.129984				-0.220769	0.000000																																																																																					0.000000	
 1 	 16		5.191604		0.394353																																																																								-5.355485				-0.230473	0.000000																																																																																					0.000000	
 1 	 17		5.191604		0.394353																																																																								-5.355485				-0.230473	0.000000																																																																																					0.000000	
 1 	 18		3.732967		0.383004																																																																								-3.946149				-0.169822	0.000000																																																																																					0.000000	
 1 	 19		2.573883		0.366089																																																																								-2.818671				-0.121301	0.000000																																																																																					0.000000	
 1 	 20		1.857913		0.347066																																																																								-2.114003				-0.090976	0.000000																																																																																					0.000000	
 1 	 21		1.158099		0.311887																																																																								-1.409336				-0.060651	0.000000																																																																																					0.000000	
 1 	 22		0.678745		0.262047																																																																								-0.901975				-0.038816	0.000000																																																																																					0.000000	
 1 	 23		0.385450		0.202545																																																																								-0.563734				-0.024260	0.000000																																																																																					0.000000	
 1 	 24		0.133503		0.101695																																																																								-0.225494				-0.009704	0.000000																																																																																					0.000000	
 2 	 1		0.085801		0.061198																																																																								-0.140934				-0.006065	0.000000																																																																																					0.000000	
 2 	 2		0.031415		0.027384																																																																								-0.056373				-0.002426	0.000000																																																																																					0.000000	
 2 	 3		0.015206		0.014194																																																																								-0.028187				-0.001213	0.000000																																																																																					0.000000	
 2 	 4		0.239862		0.112935																																																																								-0.338241				-0.014556	0.000000																																																																																					0.000000	
 2 	 5		0.773523		0.167269																																																																								-0.901975				-0.038816	0.000000																																																																																					0.000000	
 2 	 6		2.157795		0.194183																																																																								-2.254937				-0.097041	0.000000																																																																																					0.000000	
 2 	 7		4.353542		0.203410																																																																								-4.368935				-0.188017	0.000000																																																																																					0.000000	
 2 	 8		3.767007		0.201946																																																																								-3.805196				-0.163756	0.000000																																																																																					0.000000	
 2 	 9		3.473929		0.201037																																																																								-3.523339				-0.151627	0.000000																																																																																					0.000000	
 2 	 10		3.913619		0.202352																																																																								-3.946149				-0.169822	0.000000																																																																																					0.000000	
 2 	 11		4.500225		0.203720																																																																								-4.509864				-0.194082	0.000000																																																																																					0.000000	
 2 	 12		4.969760		0.204595																																																																								-4.960865				-0.213490	0.000000																																																																																					0.000000	
 2 	 13		4.500225		0.203720																																																																								-4.509864				-0.194082	0.000000																																																																																					0.000000	
 2 	 14		4.558914		0.203839																																																																								-4.566245				-0.196508	0.000000																																																																																					0.000000	
 2 	 15		5.145869		0.204884																																																																								-5.129984				-0.220769	0.000000																																																																																					0.000000	
 2 	 16		5.380717		0.205241																																																																								-5.355485				-0.230473	0.000000																																																																																					0.000000	
 2 	 17		5.380717		0.205241																																																																								-5.355485				-0.230473	0.000000																																																																																					0.000000	
 2 	 18		3.913619		0.202352																																																																								-3.946149				-0.169822	0.000000																																																																																					0.000000	
 2 	 19		2.741994		0.197978																																																																								-2.818671				-0.121301	0.000000																																																																																					0.000000	
