Td 	 Time	ELECTRICITY	GASOLINE	DIESEL	BIOETHANOL	BIODIESEL	LFO	GAS	GAS_RE	WOOD	WET_BIOMASS	COAL	URANIUM	WASTE	H2	H2_RE	AMMONIA	AMMONIA_RE	METHANOL	METHANOL_RE	ELEC_EXPORT	CO2_EMISSIONS	RES_WIND	RES_SOLAR	RES_HYDRO	RES_GEO	CO2_ATM	CO2_INDUSTRY	CO2_CAPTURED	NUCLEAR	CCGT	CCGT_AMMONIA	COAL_US	COAL_IGCC	PV	WIND_ONSHORE	WIND_OFFSHORE	HYDRO_RIVER	GEOTHERMAL	IND_COGEN_GAS	IND_COGEN_WOOD	IND_COGEN_WASTE	IND_BOILER_GAS	IND_BOILER_WOOD	IND_BOILER_OIL	IND_BOILER_COAL	IND_BOILER_WASTE	IND_DIRECT_ELEC	DHN_HP_ELEC	DHN_COGEN_GAS	DHN_COGEN_WOOD	DHN_COGEN_WET_BIOMASS	DHN_COGEN_BIO_HYDROLYSIS	DHN_COGEN_WASTE	DHN_BOILER_GAS	DHN_BOILER_WOOD	DHN_BOILER_OIL	DHN_DEEP_GEO	DHN_SOLAR	DEC_HP_ELEC	DEC_THHP_GAS	DEC_COGEN_GAS	DEC_COGEN_OIL	DEC_ADVCOGEN_GAS	DEC_ADVCOGEN_H2	DEC_BOILER_GAS	DEC_BOILER_WOOD	DEC_BOILER_OIL	DEC_SOLAR	DEC_DIRECT_ELEC	TRAMWAY_TROLLEY	BUS_COACH_DIESEL	BUS_COACH_HYDIESEL	BUS_COACH_CNG_STOICH	BUS_COACH_FC_HYBRIDH2	TRAIN_PUB	CAR_GASOLINE	CAR_DIESEL	CAR_NG	CAR_METHANOL	CAR_HEV	CAR_PHEV	CAR_BEV	CAR_FUEL_CELL	TRAIN_FREIGHT	BOAT_FREIGHT_DIESEL	BOAT_FREIGHT_NG	BOAT_FREIGHT_METHANOL	TRUCK_DIESEL	TRUCK_FUEL_CELL	TRUCK_NG	TRUCK_METHANOL	TRUCK_ELEC	HABER_BOSCH	OIL_TO_HVC	GAS_TO_HVC	BIOMASS_TO_HVC	METHANOL_TO_HVC	SYN_METHANOLATION	METHANE_TO_METHANOL	BIOMASS_TO_METHANOL	EFFICIENCY	DHN	GRID	H2_ELECTROLYSIS	SMR	H2_BIOMASS	GASIFICATION_SNG	SYN_METHANATION	BIOMETHANATION	BIO_HYDROLYSIS	PYROLYSIS_TO_LFO	PYROLYSIS_TO_FUELS	ATM_CCS	INDUSTRY_CCS	AMMONIA_TO_H2	PHS_Pin	PHS_Pout	BATT_LI_Pin	BATT_LI_Pout	BEV_BATT_Pin	BEV_BATT_Pout	PHEV_BATT_Pin	PHEV_BATT_Pout	TS_DEC_HP_ELEC_Pin	TS_DEC_HP_ELEC_Pout	TS_DEC_DIRECT_ELEC_Pin	TS_DEC_DIRECT_ELEC_Pout	TS_DHN_DAILY_Pin	TS_DHN_DAILY_Pout	TS_DHN_SEASONAL_Pin	TS_DHN_SEASONAL_Pout	TS_DEC_THHP_GAS_Pin	TS_DEC_THHP_GAS_Pout	TS_DEC_COGEN_GAS_Pin	TS_DEC_COGEN_GAS_Pout	TS_DEC_COGEN_OIL_Pin	TS_DEC_COGEN_OIL_Pout	TS_DEC_ADVCOGEN_GAS_Pin	TS_DEC_ADVCOGEN_GAS_Pout	TS_DEC_ADVCOGEN_H2_Pin	TS_DEC_ADVCOGEN_H2_Pout	TS_DEC_BOILER_GAS_Pin	TS_DEC_BOILER_GAS_Pout	TS_DEC_BOILER_WOOD_Pin	TS_DEC_BOILER_WOOD_Pout	TS_DEC_BOILER_OIL_Pin	TS_DEC_BOILER_OIL_Pout	TS_HIGH_TEMP_Pin	TS_HIGH_TEMP_Pout	GAS_STORAGE_Pin	GAS_STORAGE_Pout	H2_STORAGE_Pin	H2_STORAGE_Pout	CO2_STORAGE_Pin	CO2_STORAGE_Pout	GASOLINE_STORAGE_Pin	GASOLINE_STORAGE_Pout	DIESEL_STORAGE_Pin	DIESEL_STORAGE_Pout	METHANOL_STORAGE_Pin	METHANOL_STORAGE_Pout	AMMONIA_STORAGE_Pin	AMMONIA_STORAGE_Pout	LFO_STORAGE_Pin	LFO_STORAGE_Pout	END_USE	
 1 	 1																								0.027688													-0.027688																																																																																																																																	0.000000	
 1 	 2																								0.027674													-0.027674																																																																																																																																	0.000000	
 1 	 3																								0.027662													-0.027662																																																																																																																																	0.000000	
 1 	 4																								0.027648													-0.027648																																																																																																																																	0.000000	
 1 	 5																								0.027635													-0.027635																																																																																																																																	0.000000	
 1 	 6																								0.027624													-0.027624																																																																																																																																	0.000000	
 1 	 7																								0.027610													-0.027610																																																																																																																																	0.000000	
 1 	 8																								0.027597													-0.027597																																																																																																																																	0.000000	
 1 	 9																								0.027583													-0.027583																																																																																																																																	0.000000	
 1 	 10																								0.027571													-0.027571																																																																																																																																	0.000000	
 1 	 11																								0.027559													-0.027559																																																																																																																																	0.000000	
 1 	 12																								0.027545													-0.027545																																																																																																																																	0.000000	
 1 	 13																								0.027533													-0.027533																																																																																																																																	0.000000	
 1 	 14																								0.027519													-0.027519																																																																																																																																	0.000000	
 1 	 15																								0.027507													-0.027507																																																																																																																																	0.000000	
 1 	 16																								0.027493													-0.027493																																																																																																																																	0.000000	
 1 	 17																								0.027480													-0.027480																																																																																																																																	0.000000	
 1 	 18																								0.027468													-0.027468																																																																																																																																	0.000000	
 1 	 19																								0.027454													-0.027454																																																																																																																																	0.000000	
 1 	 20																								0.027442													-0.027442																																																																																																																																	0.000000	
 1 	 21																								0.027428													-0.027428																																																																																																																																	0.000000	
 1 	 22																								0.027416													-0.027416																																																																																																																																	0.000000	
 1 	 23																								0.027402													-0.027402																																																																																																																																	0.000000	
 1 	 24																								0.027390													-0.027390																																																																																																																																	0.000000	
 2 	 1																								0.022177													-0.022177																																																																																																																																	0.000000	
 2 	 2																								0.022149													-0.022149																																																																																																																																	0.000000	
 2 	 3																								0.022119													-0.022119																																																																																																																																	0.000000	
 2 	 4																								0.022089													-0.022089																																																																																																																																	0.000000	
 2 	 5																								0.022060													-0.022060																																																																																																																																	0.000000	
 2 	 6																								0.022030													-0.022030																																																																																																																																	0.000000	
 2 	 7																								0.022002													-0.022002																																																																																																																																	0.000000	
 2 	 8																								0.021972													-0.021972																																																																																																																																	0.000000	
 2 	 9																								0.021943													-0.021943																																																																																																																																	0.000000	
 2 	 10																								0.021913													-0.021913																																																																																																																																	0.000000	
 2 	 11																								0.021884													-0.021884																																																																																																																																	0.000000	
 2 	 12																								0.021855													-0.021855																																																																																																																																	0.000000	
 2 	 13																								0.021825													-0.021825																																																																																																																																	0.000000	
 2 	 14																								0.021796													-0.021796																																																																																																																																	0.000000	
 2 	 15																								0.021767													-0.021767																																																																																																																																	0.000000	
 2 	 16																								0.021738													-0.021738																																																																																																																																	0.000000	
 2 	 17																								0.021708													-0.021708																																																																																																																																	0.000000	
 2 	 18																								0.021678													-0.021678																																																																																																																																	0.000000	
 2 	 19																								0.021650													-0.021650																																																																																																																																	0.000000	
 2 	 20																								0.021620													-0.021620																																																																																																																																	0.000000	
 2 	 21																								0.021591													-0.021591																																																																																																																																	0.000000	
 2 	 22																								0.021561													-0.021561																																																																																																																																	0.000000	
 2 	 23																								0.021532													-0.021532																																																																																																																																	0.000000	
 2 	 24																								0.021503													-0.021503																																																																																																																																	0.000000	
 3 	 1																								0.022039													-0.022039																																																																																																																																	0.000000	
 3 	 2																								0.022030													-0.022030																																																																																																																																	0.000000	
 3 	 3																								0.022024													-0.022024																																																																																																																																	0.000000	
 3 	 4																								0.022016													-0.022016																																																																																																																																	0.000000	
 3 	 5																								0.022008													-0.022008																																																																																																																																	0.000000	
 3 	 6																								0.021999													-0.021999																																																																																																																																	0.000000	
 3 	 7																								0.021991													-0.021991																																																																																																																																	0.000000	
 3 	 8																								0.021982													-0.021982																																																																																																																																	0.000000	
 3 	 9																								0.021974													-0.021974																																																																																																																																	0.000000	
 3 	 10																								0.021968													-0.021968																																																																																																																																	0.000000	
 3 	 11																								0.021960													-0.021960																																																																																																																																	0.000000	
 3 	 12																								0.021951													-0.021951																																																																																																																																	0.000000	
 3 	 13																								0.021943													-0.021943																																																																																																																																	0.000000	
 3 	 14																								0.021934													-0.021934																																																																																																																																	0.000000	
 3 	 15																								0.021926													-0.021926																																																																																																																																	0.000000	
 3 	 16																								0.021918													-0.021918																																																																																																																																	0.000000	
 3 	 17																								0.021909													-0.021909																																																																																																																																	0.000000	
 3 	 18																								0.021903													-0.021903																																																																																																																																	0.000000	
 3 	 19																								0.021894													-0.021894																																																																																																																																	0.000000	
 3 	 20																								0.021886													-0.021886																																																																																																																																	0.000000	
 3 	 21																								0.021878													-0.021878																																																																																																																																	0.000000	
 3 	 22																								0.021870													-0.021870																																																																																																																																	0.000000	
 3 	 23																								0.021861													-0.021861																																																																																																																																	0.000000	
 3 	 24																								0.021852													-0.021852																																																																																																																																	0.000000	
 4 	 1																								0.034972													-0.034972																																																																																																																																	0.000000	
 4 	 2																								0.034960													-0.034960																																																																																																																																	0.000000	
 4 	 3																								0.034950													-0.034950																																																																																																																																	0.000000	
 4 	 4																								0.034938													-0.034938																																																																																																																																	0.000000	
 4 	 5																								0.034926													-0.034926																																																																																																																																	0.000000	
 4 	 6																								0.034914													-0.034914																																																																																																																																	0.000000	
 4 	 7																								0.034902													-0.034902																																																																																																																																	0.000000	
 4 	 8																								0.034892													-0.034892																																																																																																																																	0.000000	
 4 	 9																								0.034880													-0.034880																																																																																																																																	0.000000	
 4 	 10																								0.034868													-0.034868																																																																																																																																	0.000000	
 4 	 11																								0.034856													-0.034856																																																																																																																																	0.000000	
 4 	 12																								0.034844													-0.034844																																																																																																																																	0.000000	
 4 	 13																								0.034834													-0.034834																																																																																																																																	0.000000	
 4 	 14																								0.034823													-0.034823																																																																																																																																	0.000000	
 4 	 15																								0.034810													-0.034810																																																																																																																																	0.000000	
