Td 	 Time	ELECTRICITY	GASOLINE	DIESEL	BIOETHANOL	BIODIESEL	LFO	GAS	GAS_RE	WOOD	WET_BIOMASS	COAL	URANIUM	WASTE	H2	H2_RE	AMMONIA	AMMONIA_RE	METHANOL	METHANOL_RE	ELEC_EXPORT	CO2_EMISSIONS	RES_WIND	RES_SOLAR	RES_HYDRO	RES_GEO	CO2_ATM	CO2_INDUSTRY	CO2_CAPTURED	NUCLEAR	CCGT	CCGT_AMMONIA	COAL_US	COAL_IGCC	PV	WIND_ONSHORE	WIND_OFFSHORE	HYDRO_RIVER	GEOTHERMAL	IND_COGEN_GAS	IND_COGEN_WOOD	IND_COGEN_WASTE	IND_BOILER_GAS	IND_BOILER_WOOD	IND_BOILER_OIL	IND_BOILER_COAL	IND_BOILER_WASTE	IND_DIRECT_ELEC	DHN_HP_ELEC	DHN_COGEN_GAS	DHN_COGEN_WOOD	DHN_COGEN_WET_BIOMASS	DHN_COGEN_BIO_HYDROLYSIS	DHN_COGEN_WASTE	DHN_BOILER_GAS	DHN_BOILER_WOOD	DHN_BOILER_OIL	DHN_DEEP_GEO	DHN_SOLAR	DEC_HP_ELEC	DEC_THHP_GAS	DEC_COGEN_GAS	DEC_COGEN_OIL	DEC_ADVCOGEN_GAS	DEC_ADVCOGEN_H2	DEC_BOILER_GAS	DEC_BOILER_WOOD	DEC_BOILER_OIL	DEC_SOLAR	DEC_DIRECT_ELEC	TRAMWAY_TROLLEY	BUS_COACH_DIESEL	BUS_COACH_HYDIESEL	BUS_COACH_CNG_STOICH	BUS_COACH_FC_HYBRIDH2	TRAIN_PUB	CAR_GASOLINE	CAR_DIESEL	CAR_NG	CAR_METHANOL	CAR_HEV	CAR_PHEV	CAR_BEV	CAR_FUEL_CELL	TRAIN_FREIGHT	BOAT_FREIGHT_DIESEL	BOAT_FREIGHT_NG	BOAT_FREIGHT_METHANOL	TRUCK_DIESEL	TRUCK_FUEL_CELL	TRUCK_NG	TRUCK_METHANOL	TRUCK_ELEC	HABER_BOSCH	OIL_TO_HVC	GAS_TO_HVC	BIOMASS_TO_HVC	METHANOL_TO_HVC	SYN_METHANOLATION	METHANE_TO_METHANOL	BIOMASS_TO_METHANOL	EFFICIENCY	DHN	GRID	H2_ELECTROLYSIS	SMR	H2_BIOMASS	GASIFICATION_SNG	SYN_METHANATION	BIOMETHANATION	BIO_HYDROLYSIS	PYROLYSIS_TO_LFO	PYROLYSIS_TO_FUELS	ATM_CCS	INDUSTRY_CCS	AMMONIA_TO_H2	PHS_Pin	PHS_Pout	BATT_LI_Pin	BATT_LI_Pout	BEV_BATT_Pin	BEV_BATT_Pout	PHEV_BATT_Pin	PHEV_BATT_Pout	TS_DEC_HP_ELEC_Pin	TS_DEC_HP_ELEC_Pout	TS_DEC_DIRECT_ELEC_Pin	TS_DEC_DIRECT_ELEC_Pout	TS_DHN_DAILY_Pin	TS_DHN_DAILY_Pout	TS_DHN_SEASONAL_Pin	TS_DHN_SEASONAL_Pout	TS_DEC_THHP_GAS_Pin	TS_DEC_THHP_GAS_Pout	TS_DEC_COGEN_GAS_Pin	TS_DEC_COGEN_GAS_Pout	TS_DEC_COGEN_OIL_Pin	TS_DEC_COGEN_OIL_Pout	TS_DEC_ADVCOGEN_GAS_Pin	TS_DEC_ADVCOGEN_GAS_Pout	TS_DEC_ADVCOGEN_H2_Pin	TS_DEC_ADVCOGEN_H2_Pout	TS_DEC_BOILER_GAS_Pin	TS_DEC_BOILER_GAS_Pout	TS_DEC_BOILER_WOOD_Pin	TS_DEC_BOILER_WOOD_Pout	TS_DEC_BOILER_OIL_Pin	TS_DEC_BOILER_OIL_Pout	TS_HIGH_TEMP_Pin	TS_HIGH_TEMP_Pout	GAS_STORAGE_Pin	GAS_STORAGE_Pout	H2_STORAGE_Pin	H2_STORAGE_Pout	CO2_STORAGE_Pin	CO2_STORAGE_Pout	GASOLINE_STORAGE_Pin	GASOLINE_STORAGE_Pout	DIESEL_STORAGE_Pin	DIESEL_STORAGE_Pout	METHANOL_STORAGE_Pin	METHANOL_STORAGE_Pout	AMMONIA_STORAGE_Pin	AMMONIA_STORAGE_Pout	LFO_STORAGE_Pin	LFO_STORAGE_Pout	END_USE	
 1 	 1	0.000017																			-0.000000									1.692906	0.000007	0.000000			0.000000	8.310741	2.076490	0.038245		0.000029	0.000000	0.000000						-0.000000	-0.452522	0.352216	0.001375	0.000000	0.000000	0.000000						-0.150975		0.236434	0.000000	0.000000	0.000000					-0.000000	-0.000676					-0.003648						-0.000000	-0.045207		-0.166525								-0.000000	-0.000000	0.000000				-0.000000		0.000000				-0.000000						0.163760	0.000000	0.000000	-0.000000	-0.000000		-0.000000	0.000015	-0.000000	0.000000	-1.649978	0.045207	-0.000000	0.000000																																											-10.447910	
 1 	 2	0.000000																			-0.000000									1.692906	0.000000	0.000000			0.000000	8.857753	2.046691	0.038225		0.000001	0.000000	0.000000						-0.000000	-0.452522	0.352212	0.001375	0.000000	0.000000	0.000000						-0.150975		0.236434	0.000000	0.000000	0.000000					-0.000000	-0.000271					-0.001459						-0.000000	-0.018083		-0.166525								-0.000000	-0.000000	0.000000				-0.000000		0.000000				-0.000000						0.163760	0.000000	0.000000	-0.000000	-0.000000		-0.524481	0.000000	-0.000000	0.000000	-2.182594	0.018083	-0.000000	0.000000																																											-9.910529	
 1 	 3	0.000019																			-0.000000									1.692906	0.000007	0.000000			0.000000	7.531060	2.089451	0.038208		0.000034	0.000000	0.000000						-0.000000	-0.452522	0.352216	0.001375	0.000000	0.000000	0.000000						-0.150975		0.236434	0.000000	0.000000	0.000000					-0.000000	-0.000135					-0.000730						-0.000000	-0.009041		-0.166525								-0.000000	-0.000000	0.000000				-0.000000		0.000000				-0.000000						0.163760	0.000000	0.000000	-0.000000	-0.000000		-0.000000	0.000017	-0.000000	0.000000	-1.815874	0.009042	-0.000000	0.000000																																											-9.518727	
 1 	 4	0.000023																			-0.000000									1.692906	0.000007	0.000000			0.000000	5.783788	2.089451	0.038189		0.000038	0.000000	0.000000						-0.000000	-0.452522	0.352216	0.001375	0.000000	0.000000	0.000000						-0.150975		0.236434	0.000000	0.000000	0.000000					-0.000000	-0.001623					-0.008755						-0.000000	-0.108496		-0.166525								-0.000000	-0.000000	0.000000				-0.000000		0.000000				-0.000000						0.163760	0.000000	0.000000	-0.000000	-0.000000		-0.000000	0.000018	-0.000000	0.000000	-0.379374	0.108497	-0.000000	0.000000																																											-9.198431	
 1 	 5	0.000024																			-0.000000									1.692906	0.000008	0.000000			0.000000	6.018305	2.060427	0.038172		0.000039	0.000000	0.000000						-0.000000	-0.452522	0.352216	0.001375	0.000000	0.000000	0.000000						-0.150975		0.236434	0.000000	0.000000	0.000000					-0.000000	-0.004328					-0.023348						-0.000000	-0.289322		-0.166525								-0.000000	-0.000000	0.000000				-0.000000		0.000000				-0.000000						0.163760	0.000000	0.000000	-0.000000	-0.000000		-0.000000	0.000020	-0.000000	0.000000	-0.500339	0.289323	-0.000000	0.000000																																											-9.265649	
 1 	 6	0.000025																			-0.000000									1.692906	0.000008	0.000000			0.000000	7.766306	2.066392	0.038155		0.000043	0.000000	0.000000						-0.000000	-0.452522	0.352216	0.001375	0.000000	0.000000	0.000000						-0.150975		0.236434	0.000000	0.000000	0.000000					-0.000000	-0.010820					-0.058370						-0.000000	-0.723306		-0.166525								-0.000000	-0.000000	0.000000				-0.000000		0.000000				-0.000000						0.163760	0.000000	0.000000	-0.000000	-0.000000		-0.000000	0.000021	-0.000000	0.000000	-1.624226	0.723306	-0.000000	0.000000																																											-9.854203	
 1 	 7	0.000064																			-0.000000									1.692906	0.000010	0.000000			0.000000	7.206942	2.076243	0.038136		0.109773	0.000000	0.000000						-0.000000	-0.452522	0.352216	0.001375	0.000000	0.000000	0.000000						-0.150975		0.236434	0.000000	0.000000	0.000000					-0.000000	-0.020964					-0.113091						-0.000000	-1.401403		-0.166525								-0.000000	-0.000000	0.000000				-0.000000		0.000000				-0.000000						0.163760	0.000000	0.000000	-0.000000	-0.000000		-0.000000	0.000051	-0.000000	0.000000	-0.000047	1.401404	-0.000000	0.000000																																											-10.973784	
 1 	 8	0.439440																			-0.000000									1.692906	0.000012	0.000000			0.000000	6.901787	1.993966	0.038119		1.043375	0.000000	0.000000						-0.000000	-0.452522	0.352216	0.001375	0.000000	0.000000	0.000000						-0.150975		0.236434	0.000000	0.000000	0.000000					-0.000000	-0.018259					-0.098499						-0.000000	-1.220575		-0.166525								-0.000000	-0.000000	0.000000				-0.000000		0.000000				-0.000000						0.163760	0.000000	0.000000	-0.000000	-0.000000		-0.000000	0.026983	-0.000000	0.000000	-0.000027	1.220576	-0.000000	0.000000																																											-12.003566	
 1 	 9	0.000092																			-0.000000									1.692906	0.000010	0.000000			0.000030	8.338610	2.069733	0.038100		0.357985	0.000000	0.000000						-0.000000	-0.452522	0.352216	0.001375	0.000000	0.000000	0.000000						-0.150975		0.236434	0.000000	0.000000	0.000000					-0.000000	-0.016907					-0.091203						-0.000000	-1.130165		-0.166525								-0.000000	-0.000000	0.000000				-0.000000		0.000000				-0.000000						0.163760	0.000000	0.000000	-0.000000	-0.000000		-0.000000	0.000057	-0.000000	0.000000	-0.000065	1.130166	-0.000000	0.000000																																											-12.373111	
 1 	 10	0.000038																			-0.000000									1.692906	0.000009	0.000000			0.020272	9.023313	2.087528	0.038082		0.000091	0.000000	0.000000						-0.000000	-0.452522	0.352216	0.001375	0.000000	0.000000	0.000000						-0.150975		0.236434	0.000000	0.000000	0.000000					-0.000000	-0.018935					-0.102147						-0.000000	-1.265788		-0.166525								-0.000000	-0.000000	0.000000				-0.000000		0.000000				-0.000000						0.163760	0.000000	0.000000	-0.000000	-0.000000		-0.000000	0.000031	-0.000000	0.000000	-0.310886	1.265789	-0.000000	0.000000																																											-12.414064	
