Td 	 Time	ELECTRICITY	GASOLINE	DIESEL	BIOETHANOL	BIODIESEL	LFO	GAS	GAS_RE	WOOD	WET_BIOMASS	COAL	URANIUM	WASTE	H2	H2_RE	AMMONIA	AMMONIA_RE	METHANOL	METHANOL_RE	ELEC_EXPORT	CO2_EMISSIONS	RES_WIND	RES_SOLAR	RES_HYDRO	RES_GEO	CO2_ATM	CO2_INDUSTRY	CO2_CAPTURED	NUCLEAR	CCGT	CCGT_AMMONIA	COAL_US	COAL_IGCC	PV	WIND_ONSHORE	WIND_OFFSHORE	HYDRO_RIVER	GEOTHERMAL	IND_COGEN_GAS	IND_COGEN_WOOD	IND_COGEN_WASTE	IND_BOILER_GAS	IND_BOILER_WOOD	IND_BOILER_OIL	IND_BOILER_COAL	IND_BOILER_WASTE	IND_DIRECT_ELEC	DHN_HP_ELEC	DHN_COGEN_GAS	DHN_COGEN_WOOD	DHN_COGEN_WET_BIOMASS	DHN_COGEN_BIO_HYDROLYSIS	DHN_COGEN_WASTE	DHN_BOILER_GAS	DHN_BOILER_WOOD	DHN_BOILER_OIL	DHN_DEEP_GEO	DHN_SOLAR	DEC_HP_ELEC	DEC_THHP_GAS	DEC_COGEN_GAS	DEC_COGEN_OIL	DEC_ADVCOGEN_GAS	DEC_ADVCOGEN_H2	DEC_BOILER_GAS	DEC_BOILER_WOOD	DEC_BOILER_OIL	DEC_SOLAR	DEC_DIRECT_ELEC	TRAMWAY_TROLLEY	BUS_COACH_DIESEL	BUS_COACH_HYDIESEL	BUS_COACH_CNG_STOICH	BUS_COACH_FC_HYBRIDH2	TRAIN_PUB	CAR_GASOLINE	CAR_DIESEL	CAR_NG	CAR_METHANOL	CAR_HEV	CAR_PHEV	CAR_BEV	CAR_FUEL_CELL	TRAIN_FREIGHT	BOAT_FREIGHT_DIESEL	BOAT_FREIGHT_NG	BOAT_FREIGHT_METHANOL	TRUCK_DIESEL	TRUCK_FUEL_CELL	TRUCK_NG	TRUCK_METHANOL	TRUCK_ELEC	HABER_BOSCH	OIL_TO_HVC	GAS_TO_HVC	BIOMASS_TO_HVC	METHANOL_TO_HVC	SYN_METHANOLATION	METHANE_TO_METHANOL	BIOMASS_TO_METHANOL	EFFICIENCY	DHN	GRID	H2_ELECTROLYSIS	SMR	H2_BIOMASS	GASIFICATION_SNG	SYN_METHANATION	BIOMETHANATION	BIO_HYDROLYSIS	PYROLYSIS_TO_LFO	PYROLYSIS_TO_FUELS	ATM_CCS	INDUSTRY_CCS	AMMONIA_TO_H2	PHS_Pin	PHS_Pout	BATT_LI_Pin	BATT_LI_Pout	BEV_BATT_Pin	BEV_BATT_Pout	PHEV_BATT_Pin	PHEV_BATT_Pout	TS_DEC_HP_ELEC_Pin	TS_DEC_HP_ELEC_Pout	TS_DEC_DIRECT_ELEC_Pin	TS_DEC_DIRECT_ELEC_Pout	TS_DHN_DAILY_Pin	TS_DHN_DAILY_Pout	TS_DHN_SEASONAL_Pin	TS_DHN_SEASONAL_Pout	TS_DEC_THHP_GAS_Pin	TS_DEC_THHP_GAS_Pout	TS_DEC_COGEN_GAS_Pin	TS_DEC_COGEN_GAS_Pout	TS_DEC_COGEN_OIL_Pin	TS_DEC_COGEN_OIL_Pout	TS_DEC_ADVCOGEN_GAS_Pin	TS_DEC_ADVCOGEN_GAS_Pout	TS_DEC_ADVCOGEN_H2_Pin	TS_DEC_ADVCOGEN_H2_Pout	TS_DEC_BOILER_GAS_Pin	TS_DEC_BOILER_GAS_Pout	TS_DEC_BOILER_WOOD_Pin	TS_DEC_BOILER_WOOD_Pout	TS_DEC_BOILER_OIL_Pin	TS_DEC_BOILER_OIL_Pout	TS_HIGH_TEMP_Pin	TS_HIGH_TEMP_Pout	GAS_STORAGE_Pin	GAS_STORAGE_Pout	H2_STORAGE_Pin	H2_STORAGE_Pout	CO2_STORAGE_Pin	CO2_STORAGE_Pout	GASOLINE_STORAGE_Pin	GASOLINE_STORAGE_Pout	DIESEL_STORAGE_Pin	DIESEL_STORAGE_Pout	METHANOL_STORAGE_Pin	METHANOL_STORAGE_Pout	AMMONIA_STORAGE_Pin	AMMONIA_STORAGE_Pout	LFO_STORAGE_Pin	LFO_STORAGE_Pout	END_USE	
 1 	 1																						10.387231													-8.310741	-2.076490																																																																																																																																		0.000000	
 1 	 2																						10.904444													-8.857753	-2.046691																																																																																																																																		0.000000	
 1 	 3																						9.620511													-7.531060	-2.089451																																																																																																																																		0.000000	
 1 	 4																						7.873238													-5.783788	-2.089451																																																																																																																																		0.000000	
 1 	 5																						8.078733													-6.018305	-2.060427																																																																																																																																		0.000000	
 1 	 6																						9.832698													-7.766306	-2.066392																																																																																																																																		0.000000	
 1 	 7																						9.283185													-7.206942	-2.076243																																																																																																																																		0.000000	
 1 	 8																						8.895753													-6.901787	-1.993966																																																																																																																																		0.000000	
 1 	 9																						10.408343													-8.338610	-2.069733																																																																																																																																		0.000000	
 1 	 10																						11.110841													-9.023313	-2.087528																																																																																																																																		0.000000	
 1 	 11																						11.086184													-8.994828	-2.091356																																																																																																																																		0.000000	
 1 	 12																						10.290918													-8.225986	-2.064932																																																																																																																																		0.000000	
 1 	 13																						9.305790													-7.222403	-2.083387																																																																																																																																		0.000000	
 1 	 14																						9.887604													-7.815181	-2.072423																																																																																																																																		0.000000	
 1 	 15																						9.807712													-7.863469	-1.944244																																																																																																																																		0.000000	
 1 	 16																						9.282897													-7.532461	-1.750436																																																																																																																																		0.000000	
 1 	 17																						7.073646													-5.722308	-1.351338																																																																																																																																		0.000000	
 1 	 18																						6.306792													-4.682538	-1.624254																																																																																																																																		0.000000	
 1 	 19																						8.329254													-6.323713	-2.005541																																																																																																																																		0.000000	
 1 	 20																						9.210434													-7.289092	-1.921342																																																																																																																																		0.000000	
 1 	 21																						9.859964													-7.761769	-2.098196																																																																																																																																		0.000000	
 1 	 22																						10.605194													-8.511816	-2.093378																																																																																																																																		0.000000	
 1 	 23																						11.368829													-9.274131	-2.094698																																																																																																																																		0.000000	
 1 	 24																						12.160142													-10.065296	-2.094846																																																																																																																																		0.000000	
 2 	 1																						1.245347													-0.938351	-0.306996																																																																																																																																		0.000000	
 2 	 2																						0.999544													-0.768645	-0.230899																																																																																																																																		0.000000	
 2 	 3																						0.819419													-0.617230	-0.202189																																																																																																																																		0.000000	
 2 	 4																						0.673485													-0.497324	-0.176161																																																																																																																																		0.000000	
 2 	 5																						0.514677													-0.400498	-0.114179																																																																																																																																		0.000000	
 2 	 6																						0.492017													-0.400526	-0.091492																																																																																																																																		0.000000	
 2 	 7																						0.452621													-0.436237	-0.016384																																																																																																																																		0.000000	
 2 	 8																						0.394398													-0.379911	-0.014487																																																																																																																																		0.000000	
 2 	 9																						0.333199													-0.318712	-0.014487																																																																																																																																		0.000000	
 2 	 10																						0.262897													-0.248410	-0.014487																																																																																																																																		0.000000	
 2 	 11																						0.197272													-0.182785	-0.014487																																																																																																																																		0.000000	
 2 	 12																						0.151584													-0.126488	-0.025096																																																																																																																																		0.000000	
 2 	 13																						0.118047													-0.078341	-0.039707																																																																																																																																		0.000000	
 2 	 14																						0.354412													-0.058734	-0.295677																																																																																																																																		0.000000	
 2 	 15																						0.375330													-0.061395	-0.313934																																																																																																																																		0.000000	
 2 	 16																						0.456079													-0.084643	-0.371436																																																																																																																																		0.000000	
 2 	 17																						0.479679													-0.128784	-0.350894																																																																																																																																		0.000000	
 2 	 18																						0.738237													-0.253340	-0.484898																																																																																																																																		0.000000	
 2 	 19																						1.066951													-0.433464	-0.633487																																																																																																																																		0.000000	
 2 	 20																						1.421464													-0.707754	-0.713709																																																																																																																																		0.000000	
 2 	 21																						1.490849													-0.920705	-0.570144																																																																																																																																		0.000000	
 2 	 22																						1.909152													-1.041227	-0.867925																																																																																																																																		0.000000	
 2 	 23																						2.053042													-1.178022	-0.875020																																																																																																																																		0.000000	
 2 	 24																						2.273263													-1.597033	-0.676230																																																																																																																																		0.000000	
 3 	 1																						0.392706													-0.381256	-0.011451																																																																																																																																		0.000000	
 3 	 2																						0.318987													-0.307536	-0.011451																																																																																																																																		0.000000	
 3 	 3																						0.446679													-0.435229	-0.011451																																																																																																																																		0.000000	
 3 	 4																						0.556194													-0.544743	-0.011451																																																																																																																																		0.000000	
 3 	 5																						0.894708													-0.883257	-0.011451																																																																																																																																		0.000000	
 3 	 6																						0.963414													-0.951963	-0.011451																																																																																																																																		0.000000	
