Td 	 Time	ELECTRICITY	GASOLINE	DIESEL	BIOETHANOL	BIODIESEL	LFO	GAS	GAS_RE	WOOD	WET_BIOMASS	COAL	URANIUM	WASTE	H2	H2_RE	AMMONIA	AMMONIA_RE	METHANOL	METHANOL_RE	ELEC_EXPORT	CO2_EMISSIONS	RES_WIND	RES_SOLAR	RES_HYDRO	RES_GEO	CO2_ATM	CO2_INDUSTRY	CO2_CAPTURED	NUCLEAR	CCGT	CCGT_AMMONIA	COAL_US	COAL_IGCC	PV	WIND_ONSHORE	WIND_OFFSHORE	HYDRO_RIVER	GEOTHERMAL	IND_COGEN_GAS	IND_COGEN_WOOD	IND_COGEN_WASTE	IND_BOILER_GAS	IND_BOILER_WOOD	IND_BOILER_OIL	IND_BOILER_COAL	IND_BOILER_WASTE	IND_DIRECT_ELEC	DHN_HP_ELEC	DHN_COGEN_GAS	DHN_COGEN_WOOD	DHN_COGEN_WET_BIOMASS	DHN_COGEN_BIO_HYDROLYSIS	DHN_COGEN_WASTE	DHN_BOILER_GAS	DHN_BOILER_WOOD	DHN_BOILER_OIL	DHN_DEEP_GEO	DHN_SOLAR	DEC_HP_ELEC	DEC_THHP_GAS	DEC_COGEN_GAS	DEC_COGEN_OIL	DEC_ADVCOGEN_GAS	DEC_ADVCOGEN_H2	DEC_BOILER_GAS	DEC_BOILER_WOOD	DEC_BOILER_OIL	DEC_SOLAR	DEC_DIRECT_ELEC	TRAMWAY_TROLLEY	BUS_COACH_DIESEL	BUS_COACH_HYDIESEL	BUS_COACH_CNG_STOICH	BUS_COACH_FC_HYBRIDH2	TRAIN_PUB	CAR_GASOLINE	CAR_DIESEL	CAR_NG	CAR_METHANOL	CAR_HEV	CAR_PHEV	CAR_BEV	CAR_FUEL_CELL	TRAIN_FREIGHT	BOAT_FREIGHT_DIESEL	BOAT_FREIGHT_NG	BOAT_FREIGHT_METHANOL	TRUCK_DIESEL	TRUCK_FUEL_CELL	TRUCK_NG	TRUCK_METHANOL	TRUCK_ELEC	HABER_BOSCH	OIL_TO_HVC	GAS_TO_HVC	BIOMASS_TO_HVC	METHANOL_TO_HVC	SYN_METHANOLATION	METHANE_TO_METHANOL	BIOMASS_TO_METHANOL	EFFICIENCY	DHN	GRID	H2_ELECTROLYSIS	SMR	H2_BIOMASS	GASIFICATION_SNG	SYN_METHANATION	BIOMETHANATION	BIO_HYDROLYSIS	PYROLYSIS_TO_LFO	PYROLYSIS_TO_FUELS	ATM_CCS	INDUSTRY_CCS	AMMONIA_TO_H2	PHS_Pin	PHS_Pout	BATT_LI_Pin	BATT_LI_Pout	BEV_BATT_Pin	BEV_BATT_Pout	PHEV_BATT_Pin	PHEV_BATT_Pout	TS_DEC_HP_ELEC_Pin	TS_DEC_HP_ELEC_Pout	TS_DEC_DIRECT_ELEC_Pin	TS_DEC_DIRECT_ELEC_Pout	TS_DHN_DAILY_Pin	TS_DHN_DAILY_Pout	TS_DHN_SEASONAL_Pin	TS_DHN_SEASONAL_Pout	TS_DEC_THHP_GAS_Pin	TS_DEC_THHP_GAS_Pout	TS_DEC_COGEN_GAS_Pin	TS_DEC_COGEN_GAS_Pout	TS_DEC_COGEN_OIL_Pin	TS_DEC_COGEN_OIL_Pout	TS_DEC_ADVCOGEN_GAS_Pin	TS_DEC_ADVCOGEN_GAS_Pout	TS_DEC_ADVCOGEN_H2_Pin	TS_DEC_ADVCOGEN_H2_Pout	TS_DEC_BOILER_GAS_Pin	TS_DEC_BOILER_GAS_Pout	TS_DEC_BOILER_WOOD_Pin	TS_DEC_BOILER_WOOD_Pout	TS_DEC_BOILER_OIL_Pin	TS_DEC_BOILER_OIL_Pout	TS_HIGH_TEMP_Pin	TS_HIGH_TEMP_Pout	GAS_STORAGE_Pin	GAS_STORAGE_Pout	H2_STORAGE_Pin	H2_STORAGE_Pout	CO2_STORAGE_Pin	CO2_STORAGE_Pout	GASOLINE_STORAGE_Pin	GASOLINE_STORAGE_Pout	DIESEL_STORAGE_Pin	DIESEL_STORAGE_Pout	METHANOL_STORAGE_Pin	METHANOL_STORAGE_Pout	AMMONIA_STORAGE_Pin	AMMONIA_STORAGE_Pout	LFO_STORAGE_Pin	LFO_STORAGE_Pout	END_USE	
 1 	 1																																																											12.227970	5.597638	0.000001	0.000000	0.000000	0.000000	6.792507	0.375499	0.000000	0.000000	0.000000																																																							-2.904652	2.517842	-0.000007	0.000007					-0.397384	0.271894	-0.000061	0.000061	-0.000007	0.000007	-0.000007	0.000007	-0.000007	0.000007	-0.388638	0.060086	-0.028586	0.020168	-0.000060	0.000060																			-24.144346	
 1 	 2																																																											12.227970	5.597638	0.000001	0.000000	0.000000	0.000000	6.792508	0.375499	0.000000	0.000000	0.000000																																																							-2.781250	2.633386	-0.000007	0.000007					-0.338308	0.323242	-0.000061	0.000061	-0.000007	0.000007	-0.000007	0.000007	-0.000007	0.000007	-0.299544	0.101429	-0.024643	0.023632	-0.000060	0.000060																			-24.631561	
 1 	 3																																																											12.227970	5.597638	0.000001	0.000000	0.000000	0.000000	6.792508	0.375499	0.000000	0.000000	0.000000																																																							-2.631950	2.782742	-0.000007	0.000007					-0.273008	0.395960	-0.000061	0.000061	-0.000007	0.000007	-0.000007	0.000007	-0.000007	0.000007	-0.202101	0.167020	-0.020243	0.028491	-0.000060	0.000060																			-25.240528	
 1 	 4																																																											12.227970	5.597638	0.000001	0.000000	0.000000	0.000000	6.792508	0.375499	0.000000	0.000000	0.000000																																																							-2.573771	2.844019	-0.000007	0.000007					-0.249453	0.427609	-0.000061	0.000061	-0.000007	0.000007	-0.000007	0.000007	-0.000007	0.000007	-0.169311	0.199440	-0.018644	0.030595	-0.000060	0.000060																			-25.484101	
 1 	 5																																																											12.227970	5.597638	0.000001	0.000000	0.000000	0.000000	6.792508	0.375499	0.000000	0.000000	0.000000																																																							-2.488134	2.937583	-0.000007	0.000007					-0.216585	0.477556	-0.000061	0.000061	-0.000007	0.000007	-0.000007	0.000007	-0.000007	0.000007	-0.127129	0.255082	-0.016400	0.033906	-0.000060	0.000060																			-25.849495	
 1 	 6																																																											12.227970	5.597638	0.000001	0.000000	0.000000	0.000000	6.792508	0.375499	0.000000	0.000000	0.000000																																																							-2.432133	3.001038	-0.000007	0.000007					-0.196148	0.512322	-0.000061	0.000061	-0.000007	0.000007	-0.000007	0.000007	-0.000007	0.000007	-0.102996	0.296158	-0.014998	0.036208	-0.000060	0.000060																			-26.093068	
 1 	 7																																																											12.227970	5.597638	0.000001	0.000000	0.000000	0.000000	6.792507	0.375499	0.000000	0.000000	0.000000																																																							-2.376976	3.065372	-0.000007	0.000007					-0.176736	0.548131	-0.000061	0.000061	-0.000007	0.000007	-0.000007	0.000007	-0.000007	0.000007	-0.081277	0.339668	-0.013663	0.038577	-0.000060	0.000060																			-26.336711	
 1 	 8																																																											12.227970	5.597638	0.000001	0.000000	0.000000	0.000000	6.792508	0.375499	0.000000	0.000000	0.000000																																																							-2.349734	3.097840	-0.000007	0.000007					-0.167384	0.566373	-0.000061	0.000061	-0.000007	0.000007	-0.000007	0.000007	-0.000007	0.000007	-0.071132	0.362118	-0.013019	0.039784	-0.000060	0.000060																			-26.458462	
 1 	 9																																																											12.227970	5.597638	0.000001	0.000000	0.000000	0.000000	6.792508	0.375499	0.000000	0.000000	0.000000																																																							-2.349734	3.097840	-0.000007	0.000007					-0.167384	0.566373	-0.000061	0.000061	-0.000007	0.000007	-0.000007	0.000007	-0.000007	0.000007	-0.071132	0.362118	-0.013019	0.039784	-0.000060	0.000060																			-26.458462	
 1 	 10																																																											12.227970	5.597638	0.000001	0.000000	0.000000	0.000000	6.790061	0.375499	0.000000	0.000000	0.000000																																																							-2.602759	2.813262	-0.000007	0.000007					-0.261060	0.411606	-0.000061	0.000061	-0.000007	0.000007	-0.000007	0.000007	-0.000007	0.000007	-0.184001	0.183961	-0.019433	0.029532	-0.000060	0.000060																			-25.362279	
 1 	 11																																																											12.227970	5.597638	0.000001	0.000000	0.000000	0.000000	6.463938	0.375499	0.000000	0.000000	0.000000																																																							-2.904651	2.517840	-0.000007	0.000007					-0.397384	0.271894	-0.000061	0.000061	-0.000007	0.000007	-0.000007	0.000007	-0.000007	0.000007	-0.183969	0.183986	-0.028586	0.020168	-0.000060	0.000060																			-24.144346	
 1 	 12																																																											12.227970	5.597638	0.000001	0.000000	0.000000	0.000000	6.072668	0.375499	0.000000	0.000000	0.000000																																																							-3.295468	2.191853	-0.000007	0.000007					-0.605225	0.148479	-0.000061	0.000061	-0.000007	0.000007	-0.000007	0.000007	-0.000007	0.000007	-0.184113	0.184105	-0.042355	0.011716	-0.000060	0.000060																			-22.682769	
 1 	 13																																																											12.227970	5.597638	0.000001	0.000000	0.000000	0.000000	5.844422	0.375499	0.000000	0.000000	0.000000																																																							-3.537064	2.015336	-0.000007	0.000007					-0.740444	0.090476	-0.000061	0.000061	-0.000007	0.000007	-0.000007	0.000007	-0.000007	0.000007	-0.184140	0.184135	-0.051313	0.007712	-0.000060	0.000060																			-21.830229	
 1 	 14																																																											12.227970	5.597638	0.000001	0.000000	0.000000	0.000000	5.746594	0.375499	0.000000	0.000000	0.000000																																																							-3.643489	1.942561	-0.000007	0.000007					-0.800253	0.067471	-0.000061	0.000061	-0.000007	0.000007	-0.000007	0.000007	-0.000007	0.000007	-0.184327	0.184327	-0.055282	0.006126	-0.000060	0.000060																			-21.464835	
 1 	 15																																																											12.227970	5.597638	0.000001	0.000000	0.000000	0.000000	5.746595	0.375499	0.000000	0.000000	0.000000																																																							-3.643491	1.942562	-0.000007	0.000007					-0.800253	0.067471	-0.000061	0.000061	-0.000007	0.000007	-0.000007	0.000007	-0.000007	0.000007	-0.185147	0.185145	-0.055282	0.006126	-0.000060	0.000060																			-21.464835	
 1 	 16																																																											12.227970	5.597638	0.000001	0.000000	0.000000	0.000000	6.327345	0.375499	0.000000	0.000000	0.000000																																																							-3.501979	2.039962	-0.000007	0.000007					-0.720728	0.098354	-0.000061	0.000061	-0.000007	0.000007	-0.000007	0.000007	-0.000007	0.000007	-0.476680	0.026348	-0.050006	0.008256	-0.000060	0.000060																			-21.951980	
 1 	 17																																																											12.227970	5.597638	0.000001	0.000000	0.000000	0.000000	6.689685	0.375499	0.000000	0.000000	0.000000																																																							-3.228240	2.244081	-0.000007	0.000007					-0.568071	0.166530	-0.000061	0.000061	-0.000007	0.000007	-0.000007	0.000007	-0.000007	0.000007	-0.551829	0.000013	-0.039897	0.012961	-0.000060	0.000060																			-22.926341	
 1 	 18																																																											12.227970	5.597638	0.000001	0.000000	0.000000	0.000000	6.792497	0.375499	0.000000	0.000000	0.000000																																																							-3.063776	2.378308	-0.000007	0.000007					-0.479129	0.215621	-0.000061	0.000061	-0.000007	0.000007	-0.000007	0.000007	-0.000007	0.000007	-0.507177	0.015601	-0.034010	0.016334	-0.000060	0.000060																			-23.535379	
 1 	 19																																																											12.227970	5.597638	0.000001	0.000000	0.000000	0.000000	6.792504	0.375499	0.000000	0.000000	0.000000																																																							-2.904651	2.517840	-0.000007	0.000007					-0.397384	0.271894	-0.000061	0.000061	-0.000007	0.000007	-0.000007	0.000007	-0.000007	0.000007	-0.388632	0.060084	-0.028586	0.020168	-0.000060	0.000060																			-24.144346	
 1 	 20																																																											12.227970	5.597638	0.000001	0.000000	0.000000	0.000000	6.792505	0.375499	0.000000	0.000000	0.000000																																																							-2.720874	2.692466	-0.000007	0.000007					-0.311054	0.351192	-0.000061	0.000061	-0.000007	0.000007	-0.000007	0.000007	-0.000007	0.000007	-0.258231	0.125329	-0.022813	0.025505	-0.000060	0.000060																			-24.875134	
 1 	 21																																																											12.227970	5.597638	0.000001	0.000000	0.000000	0.000000	6.792505	0.375499	0.000000	0.000000	0.000000																																																							-2.573772	2.844020	-0.000007	0.000007					-0.249452	0.427609	-0.000061	0.000061	-0.000007	0.000007	-0.000007	0.000007	-0.000007	0.000007	-0.169310	0.199441	-0.018644	0.030595	-0.000060	0.000060																			-25.484101	
 1 	 22																																																											12.227970	5.597638	0.000001	0.000000	0.000000	0.000000	6.792506	0.375499	0.000000	0.000000	0.000000																																																							-2.432135	3.001040	-0.000007	0.000007					-0.196148	0.512322	-0.000061	0.000061	-0.000007	0.000007	-0.000007	0.000007	-0.000007	0.000007	-0.102995	0.296159	-0.014998	0.036208	-0.000060	0.000060																			-26.093068	
