Name	C_inv	C_maint	C_op
NUCLEAR	0.000000	0.000000	0.000000
CCGT	56.634922	29.719853	0.000000
CCGT_AMMONIA	47.022000	24.675357	0.000000
COAL_US	0.000000	0.000000	0.000000
COAL_IGCC	0.000000	0.000000	0.000000
PV	2044.802868	483.838456	0.000000
WIND_ONSHORE	416.067097	116.216471	0.000000
WIND_OFFSHORE	1189.300161	198.720388	0.000000
HYDRO_RIVER	19.393261	5.801152	0.000000
GEOTHERMAL	0.000000	0.000000	0.000000
IND_COGEN_GAS	136.702747	182.065851	0.000000
IND_COGEN_WOOD	0.000038	0.000029	0.000000
IND_COGEN_WASTE	0.000033	0.000025	0.000000
IND_BOILER_GAS	0.000050	0.000015	0.000000
IND_BOILER_WOOD	22.768292	6.788394	0.000000
IND_BOILER_OIL	0.000022	0.000007	0.000000
IND_BOILER_COAL	0.000092	0.000027	0.000000
IND_BOILER_WASTE	17.840598	5.319196	0.000000
IND_DIRECT_ELEC	260.713041	15.781072	0.000000
DHN_HP_ELEC	118.677843	83.381960	0.000000
DHN_COGEN_GAS	21.119152	12.793942	0.000000
DHN_COGEN_WOOD	0.000026	0.000020	0.000000
DHN_COGEN_WET_BIOMASS	0.000018	0.000031	0.000000
DHN_COGEN_BIO_HYDROLYSIS	0.000082	0.000054	0.000000
DHN_COGEN_WASTE	0.000027	0.000021	0.000000
DHN_BOILER_GAS	0.000007	0.000002	0.000000
DHN_BOILER_WOOD	0.000012	0.000003	0.000000
DHN_BOILER_OIL	0.000005	0.000002	0.000000
DHN_DEEP_GEO	0.000000	0.000000	0.000000
DHN_SOLAR	0.000010	0.000000	0.000000
DEC_HP_ELEC	586.010099	382.934656	0.000000
DEC_THHP_GAS	114.113566	57.261418	0.000000
DEC_COGEN_GAS	0.000106	0.000117	0.000000
DEC_COGEN_OIL	0.000033	0.000035	0.000000
DEC_ADVCOGEN_GAS	0.000085	0.000027	0.000000
DEC_ADVCOGEN_H2	0.000067	0.000021	0.000000
DEC_BOILER_GAS	0.000125	0.000056	0.000000
DEC_BOILER_WOOD	13.628138	7.108917	0.000000
DEC_BOILER_OIL	0.000031	0.000028	0.000000
DEC_SOLAR	0.000270	0.000051	0.000000
DEC_DIRECT_ELEC	0.000053	0.000003	0.000000
TRAMWAY_TROLLEY	30.425911	14.614075	0.000000
BUS_COACH_DIESEL	0.000005	0.000004	0.000000
BUS_COACH_HYDIESEL	0.000008	0.000004	0.000000
BUS_COACH_CNG_STOICH	565.653611	370.972664	0.000000
BUS_COACH_FC_HYBRIDH2	0.000007	0.000003	0.000000
TRAIN_PUB	732.757264	791.137895	0.000000
CAR_GASOLINE	0.000200	0.000103	0.000000
CAR_DIESEL	0.000006	0.000003	0.000000
CAR_NG	0.000008	0.000004	0.000000
CAR_METHANOL	0.000004	0.000002	0.000000
CAR_HEV	0.000010	0.000007	0.000000
CAR_PHEV	0.000130	0.000089	0.000000
CAR_BEV	8714.444972	1920.706940	0.000000
CAR_FUEL_CELL	0.000007	0.000001	0.000000
TRAIN_FREIGHT	26.189954	15.669229	0.000000
BOAT_FREIGHT_DIESEL	28.144375	41.223305	0.000000
BOAT_FREIGHT_NG	42.130329	61.946878	0.000000
BOAT_FREIGHT_METHANOL	0.000133	0.000195	0.000000
TRUCK_DIESEL	166.442695	108.729928	0.000000
TRUCK_FUEL_CELL	1319.651005	532.064968	0.000000
TRUCK_NG	0.000001	0.000001	0.000000
TRUCK_METHANOL	0.000001	0.000001	0.000000
TRUCK_ELEC	0.000001	0.000000	0.000000
HABER_BOSCH	0.000024	0.000008	0.000000
OIL_TO_HVC	0.000000	0.000000	0.000000
GAS_TO_HVC	0.000000	0.000000	0.000000
BIOMASS_TO_HVC	0.000000	0.000000	0.000000
METHANOL_TO_HVC	0.000000	0.000000	0.000000
SYN_METHANOLATION	0.000024	0.000012	0.000000
METHANE_TO_METHANOL	0.000016	0.000015	0.000000
