Td 	 Time	ELECTRICITY	GASOLINE	DIESEL	BIOETHANOL	BIODIESEL	LFO	GAS	GAS_RE	WOOD	WET_BIOMASS	COAL	URANIUM	WASTE	H2	H2_RE	AMMONIA	AMMONIA_RE	METHANOL	METHANOL_RE	ELEC_EXPORT	CO2_EMISSIONS	RES_WIND	RES_SOLAR	RES_HYDRO	RES_GEO	CO2_ATM	CO2_INDUSTRY	CO2_CAPTURED	NUCLEAR	CCGT	CCGT_AMMONIA	COAL_US	COAL_IGCC	PV	WIND_ONSHORE	WIND_OFFSHORE	HYDRO_RIVER	GEOTHERMAL	IND_COGEN_GAS	IND_COGEN_WOOD	IND_COGEN_WASTE	IND_BOILER_GAS	IND_BOILER_WOOD	IND_BOILER_OIL	IND_BOILER_COAL	IND_BOILER_WASTE	IND_DIRECT_ELEC	DHN_HP_ELEC	DHN_COGEN_GAS	DHN_COGEN_WOOD	DHN_COGEN_WET_BIOMASS	DHN_COGEN_BIO_HYDROLYSIS	DHN_COGEN_WASTE	DHN_BOILER_GAS	DHN_BOILER_WOOD	DHN_BOILER_OIL	DHN_DEEP_GEO	DHN_SOLAR	DEC_HP_ELEC	DEC_THHP_GAS	DEC_COGEN_GAS	DEC_COGEN_OIL	DEC_ADVCOGEN_GAS	DEC_ADVCOGEN_H2	DEC_BOILER_GAS	DEC_BOILER_WOOD	DEC_BOILER_OIL	DEC_SOLAR	DEC_DIRECT_ELEC	TRAMWAY_TROLLEY	BUS_COACH_DIESEL	BUS_COACH_HYDIESEL	BUS_COACH_CNG_STOICH	BUS_COACH_FC_HYBRIDH2	TRAIN_PUB	CAR_GASOLINE	CAR_DIESEL	CAR_NG	CAR_METHANOL	CAR_HEV	CAR_PHEV	CAR_BEV	CAR_FUEL_CELL	TRAIN_FREIGHT	BOAT_FREIGHT_DIESEL	BOAT_FREIGHT_NG	BOAT_FREIGHT_METHANOL	TRUCK_DIESEL	TRUCK_FUEL_CELL	TRUCK_NG	TRUCK_METHANOL	TRUCK_ELEC	HABER_BOSCH	OIL_TO_HVC	GAS_TO_HVC	BIOMASS_TO_HVC	METHANOL_TO_HVC	SYN_METHANOLATION	METHANE_TO_METHANOL	BIOMASS_TO_METHANOL	EFFICIENCY	DHN	GRID	H2_ELECTROLYSIS	SMR	H2_BIOMASS	GASIFICATION_SNG	SYN_METHANATION	BIOMETHANATION	BIO_HYDROLYSIS	PYROLYSIS_TO_LFO	PYROLYSIS_TO_FUELS	ATM_CCS	INDUSTRY_CCS	AMMONIA_TO_H2	PHS_Pin	PHS_Pout	BATT_LI_Pin	BATT_LI_Pout	BEV_BATT_Pin	BEV_BATT_Pout	PHEV_BATT_Pin	PHEV_BATT_Pout	TS_DEC_HP_ELEC_Pin	TS_DEC_HP_ELEC_Pout	TS_DEC_DIRECT_ELEC_Pin	TS_DEC_DIRECT_ELEC_Pout	TS_DHN_DAILY_Pin	TS_DHN_DAILY_Pout	TS_DHN_SEASONAL_Pin	TS_DHN_SEASONAL_Pout	TS_DEC_THHP_GAS_Pin	TS_DEC_THHP_GAS_Pout	TS_DEC_COGEN_GAS_Pin	TS_DEC_COGEN_GAS_Pout	TS_DEC_COGEN_OIL_Pin	TS_DEC_COGEN_OIL_Pout	TS_DEC_ADVCOGEN_GAS_Pin	TS_DEC_ADVCOGEN_GAS_Pout	TS_DEC_ADVCOGEN_H2_Pin	TS_DEC_ADVCOGEN_H2_Pout	TS_DEC_BOILER_GAS_Pin	TS_DEC_BOILER_GAS_Pout	TS_DEC_BOILER_WOOD_Pin	TS_DEC_BOILER_WOOD_Pout	TS_DEC_BOILER_OIL_Pin	TS_DEC_BOILER_OIL_Pout	TS_HIGH_TEMP_Pin	TS_HIGH_TEMP_Pout	GAS_STORAGE_Pin	GAS_STORAGE_Pout	H2_STORAGE_Pin	H2_STORAGE_Pout	CO2_STORAGE_Pin	CO2_STORAGE_Pout	GASOLINE_STORAGE_Pin	GASOLINE_STORAGE_Pout	DIESEL_STORAGE_Pin	DIESEL_STORAGE_Pout	METHANOL_STORAGE_Pin	METHANOL_STORAGE_Pout	AMMONIA_STORAGE_Pin	AMMONIA_STORAGE_Pout	LFO_STORAGE_Pin	LFO_STORAGE_Pout	END_USE	
 1 	 1																																							2.109753	0.000000	0.000000	0.000000	0.000137	0.000000	0.000000	0.000128	0.000000																																															0.000000										-0.000000											-0.000000																																	-3.621417	8.132130																	-6.620731	
 1 	 2																																							2.109753	0.000000	0.000000	0.000000	0.000242	0.000000	0.000000	0.000230	0.000000																																															0.000000										-0.000000											-0.000000																																	-3.620951	8.131456																	-6.620731	
 1 	 3																																							2.109753	0.000000	0.000000	0.000000	2.369559	0.000000	0.000000	1.601438	0.000000																																															0.000000										-0.000000											-0.000000																																	-5.322261	5.862240																	-6.620731	
 1 	 4																																							2.109753	0.000000	0.000000	0.000000	2.601232	0.000000	0.000000	1.909737	0.000000																																															0.000000										-0.000000											-0.000000																																	-5.587637	5.587644																	-6.620731	
 1 	 5																																							2.109753	0.000000	0.000000	0.000000	2.599332	0.000000	0.000000	1.911642	0.000000																																															0.000000										-0.000000											-0.000000																																	-5.587630	5.587632																	-6.620731	
 1 	 6																																							2.109753	0.000000	0.000000	0.000000	2.598873	0.000000	0.000000	1.912101	0.000000																																															0.000000										-0.000000											-0.000000																																	-5.587626	5.587629																	-6.620731	
 1 	 7																																							2.109753	0.000000	0.000000	0.000000	2.598332	0.000000	0.000000	1.912641	0.000000																																															0.000000										-0.000000											-0.000000																																	-5.587628	5.587632																	-6.620731	
 1 	 8																																							2.109753	0.000000	0.000000	0.000000	2.597539	0.000000	0.000000	1.913434	0.000000																																															0.000000										-0.000000											-0.000000																																	-5.587629	5.587632																	-6.620731	
 1 	 9																																							2.109753	0.000000	0.000000	0.000000	2.596391	0.000000	0.000000	1.914583	0.000000																																															0.000000										-0.000000											-0.000000																																	-5.587634	5.587636																	-6.620731	
 1 	 10																																							2.109753	0.000000	0.000000	0.000000	2.595039	0.000000	0.000000	1.915945	0.000000																																															0.000000										-0.000000											-0.000000																																	-5.587651	5.587644																	-6.620731	
 1 	 11																																							2.109753	0.000000	0.000000	0.000000	2.591715	0.000000	0.000000	1.919380	0.000000																																															0.000000										-0.000000											-0.000000																																	-5.587750	5.587633																	-6.620731	
 1 	 12																																							2.109753	0.000000	0.000000	0.000000	2.898923	0.000000	0.000000	2.259960	0.000000																																															0.000000										-0.000000											-0.000000																																	-5.917823	5.269917																	-6.620731	
 1 	 13																																							2.109753	0.000000	0.000000	0.000000	2.946700	0.000000	0.000000	2.308911	0.000000																																															0.000000										-0.000000											-0.000000																																	-5.968179	5.223546																	-6.620731	
 1 	 14																																							2.109753	0.000000	0.000000	0.000000	2.946784	0.000000	0.000000	2.308996	0.000000																																															0.000000										-0.000000											-0.000000																																	-5.968278	5.223475																	-6.620731	
 1 	 15																																							2.109753	0.000000	0.000000	0.000000	2.946814	0.000000	0.000000	2.309027	0.000000																																															0.000000										-0.000000											-0.000000																																	-5.968321	5.223457																	-6.620731	
 1 	 16																																							2.109753	0.000000	0.000000	0.000000	2.946830	0.000000	0.000000	2.309043	0.000000																																															0.000000										-0.000000											-0.000000																																	-5.968342	5.223445																	-6.620731	
 1 	 17																																							2.109753	0.000000	0.000000	0.000000	2.946840	0.000000	0.000000	2.309053	0.000000																																															0.000000										-0.000000											-0.000000																																	-5.968357	5.223441																	-6.620731	
 1 	 18																																							2.109753	0.000000	0.000000	0.000000	2.946847	0.000000	0.000000	2.309059	0.000000																																															0.000000										-0.000000											-0.000000																																	-5.968369	5.223439																	-6.620731	
 1 	 19																																							2.109753	0.000000	0.000000	0.000000	2.946852	0.000000	0.000000	2.309064	0.000000																																															0.000000										-0.000000											-0.000000																																	-5.968377	5.223438																	-6.620731	
 1 	 20																																							2.109753	0.000000	0.000000	0.000000	2.946855	0.000000	0.000000	2.309068	0.000000																																															0.000000										-0.000000											-0.000000																																	-5.968384	5.223437																	-6.620731	
 1 	 21																																							2.109753	0.000000	0.000000	0.000000	2.946858	0.000000	0.000000	2.309071	0.000000																																															0.000000										-0.000000											-0.000000																																	-5.968389	5.223437																	-6.620731	
 1 	 22																																							2.109753	0.000000	0.000000	0.000000	2.946860	0.000000	0.000000	2.309073	0.000000																																															0.000000										-0.000000											-0.000000																																	-5.968393	5.223437																	-6.620731	
