source,target,realValue,layerID,layerColor,layerUnit
Imp. RE Ammonia,Ammonia,13.67,Ammonia,#000ECD,TWh
Ammonia,Elec,13.67,Ammonia,#000ECD,TWh
Imp. Bio-diesel,Diesel,3.39,Diesel,#D3D3D3,TWh
Diesel,Freight,3.39,Diesel,#D3D3D3,TWh
Imp. NG,Gas,56.12,Gas,#FFD700,TWh
Gas Prod,SNG sto.,11.44,GAS,#FFD700,TWh
SNG sto.,Gas,11.21,GAS,#FFD700,TWh
Gas Prod,Gas,5.02,GAS,#FFD700,TWh
Gas,Mob public,7.89,GAS,#FFD700,TWh
Gas,Freight,1.86,GAS,#FFD700,TWh
Gas,Elec,14.50,GAS,#FFD700,TWh
Gas,CHP,35.35,GAS,#FFD700,TWh
Gas,HPs,12.80,GAS,#FFD700,TWh
Electricity,Elec,30.87,Electricity,#00BFFF,TWh
Wind,Elec,42.74,Wind,#27AE34,TWh
Hydro River,Elec,0.47,Hydro River,#0000FF,TWh
Solar,Elec,61.53,Solar,#FFFF00,TWh
Waste,Boilers,17.80,Waste,#808000,TWh
Wood,Boilers,23.40,Wood,#CD853F,TWh
Wet biomass,Biomethanation,38.90,Wood,#CD853F,TWh
Biomethanation,Gas Prod,16.45,GAS,#FFD700,TWh
Biomethanation,Elec,1.56,Electricity,#00BFFF,TWh
Elec,Mob priv,13.89,Electricity,#00BFFF,TWh
Elec,Mob public,2.32,Electricity,#00BFFF,TWh
Elec,Freight,1.43,Electricity,#00BFFF,TWh
Elec,Exp & Loss,7.94,Electricity,#00BFFF,TWh
Elec,Curt.,0.27,Electricity,#00BFFF,TWh
Elec,Elec demand,101.18,Electricity,#00BFFF,TWh
Solar,Curt.,0.28,Solar,#FFFF00,TWh
Wind,Curt.,0.22,Wind,#27AE34,TWh
Elec,Storage,1.57,Electricity,#00BFFF,TWh
Storage,Elec demand,1.20,Electricity,#00BFFF,TWh
Elec,HPs,28.38,Electricity,#00BFFF,TWh
Elec,HT sto,5.64,Electricity,#00BFFF,TWh
HT sto,Heat HT,5.62,Heat HT,#DC143C,TWh
Elec,Heat HT,4.50,Electricity,#00BFFF,TWh
Imp. H2,H2,14.06,H2,#FF00FF,TWh
H2 prod,H2 sto.,0.00,H2,#FF00FF,TWh
H2 sto.,H2,0.00,H2,#FF00FF,TWh
H2 prod,H2,-0.00,H2,#FF00FF,TWh
H2,Freight,14.06,H2,#FF00FF,TWh
CHP,Elec,15.80,Electricity,#00BFFF,TWh
CHP,DHN,1.61,Heat LT,#FA8072,TWh
CHP,Heat HT,14.41,Heat HT,#DC143C,TWh
HPs,Dec. sto,18.83,Heat LT,#FA8072,TWh
HPs,Heat LT Dec,61.55,Heat LT,#FA8072,TWh
HPs,DHN,37.33,Heat LT,#FA8072,TWh
Boilers,Dec. sto,0.06,Heat LT,#FA8072,TWh
Boilers,Heat LT Dec,1.28,Heat LT,#FA8072,TWh
Dec. sto,Heat LT Dec,17.48,Heat LT,#FA8072,TWh
Boilers,Heat HT,33.46,Heat HT,#DC143C,TWh
DHN,Heat LT DHN,24.41,Heat LT,#FA8072,TWh
DHN,Loss DHN,1.95,Heat LT,#FA8072,TWh
DHN,DHN Sto,12.58,Heat LT,#FA8072,TWh
DHN Sto,Heat LT DHN,11.95,Heat LT,#FA8072,TWh
